Year,Company,Category,Market Cap(in B USD),Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debtor Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity
2022,Apple,IT,2066.94,394328,170782,99803,6.11,130541,50672,122151,-22354,-110749,0.8794,2.3695,196.9589,28.2924,66.6994,25.3096,1.3146,196.9589
2021,Apple,IT,2913.28,365817,152836,94680,5.61,120233,63090,104038,-14545,-93353,1.0746,1.9768,150.0713,26.9742,54.9839,25.8818,1.3261,150.0713
2020,Apple,IT,2255.97,274515,104956,57411,3.28,77344,65339,80674,-4289,-86820,1.3636,1.7208,87.8664,17.7256,35.0054,20.9136,1.0183,87.8664
2019,Apple,IT,1304.76,260174,98392,55256,2.97,76477,90488,69391,45896,-90976,1.5401,1.194,61.0645,16.323,30.3113,21.2381,-0.0388,61.0645
2018,Apple,IT,748.54,265595,101839,59531,2.98,81801,107147,77434,16066,-87876,1.1329,1.0685,55.5601,16.2775,29.6348,22.4142,0.7414,55.5601
2017,Apple,IT,868.87,229234,88186,48351,2.3025,71501,134047,64225,-46446,-17974,1.2761,0.863,36.0702,12.8826,20.9082,21.0924,0.033,36.0702
2016,Apple,IT,617.59,215639,84263,45687,2.0775,70529,128249,66231,-45977,-20890,1.3527,0.6786,35.6237,14.2024,22.4312,21.1868,-0.5901,38.1906
2015,Apple,IT,586.86,233715,93626,53394,2.305,82487,119355,81266,-56274,-17716,1.1088,0.539,44.7355,18.3899,30.9201,22.8458,0.9743,48.3878
2014,Apple,IT,647.36,182795,70537,39510,1.6125,60449,111547,59713,-22579,-37549,1.0801,0.3164,35.4201,17.042,28.1142,21.6144,0.3032,38.438
2013,Apple,IT,504.79,170910,64304,37037,1.42,55756,123549,53666,-33774,-16379,1.6786,0.1373,29.9776,17.8923,26.3592,21.6705,0.1363,31.4425
2012,Apple,IT,500.61,156508,68662,41733,1.5775,58518,118210,50856,-48227,-1698,1.4958,0,35.3041,23.7033,35.3041,26.6651,0.3394,36.9806
2011,Apple,IT,376.4,108249,43818,25922,0.9886,35604,76615,37529,-40419,1444,1.6084,0,33.8341,22.2753,33.8341,23.9466,0.6278,35.9115
2010,Apple,IT,296.89,65225,25684,14013,0.5411,19412,47791,18595,-13854,1257,2.0113,0,29.3214,18.6385,29.3214,21.4841,0.2857,30.0013
2009,Apple,IT,189.8,42905,17222,8235,0.3243,12474,31640,10159,-17434,663,2.7425,0,26.0272,17.3365,26.0272,19.1936,0.355,26.4052
2023,MICROSOFT,IT,2451.23,211915,146052,72361,9.68,102384,206223,87582,-22680,-43935,1.7692,0.2291,35.0887,17.5644,29.1528,34.1462,-0.6808,56.1064
2022,MICROSOFT,IT,1787.73,198270,135620,72738,9.65,97843,166542,89035,-30311,-58876,1.7846,0.2989,43.6755,19.937,34.0575,36.6863,1.2643,82.9207
2021,MICROSOFT,IT,2525.08,168088,115856,61271,8.05,81602,141988,76740,-27577,-48486,2.08,0.4095,43.1522,18.3568,31.9017,36.4517,1.4887,72.5298
2020,MICROSOFT,IT,1681.61,143015,96937,44281,5.76,65755,118304,60675,-12223,-46031,2.5158,0.5353,37.4298,14.6961,24.8935,30.9625,0.9526,65.2006
2019,MICROSOFT,IT,1203.06,125843,82933,39240,5.06,54641,102330,52185,-15773,-36887,2.5288,0.7053,38.3465,13.6937,23.22,31.1817,0.7968,74.6661
2018,MICROSOFT,IT,779.67,110360,72007,16571,2.13,45319,82718,43884,-6061,-33590,2.9008,0.9217,20.0331,6.4018,10.6937,15.0154,0.1317,42.5094
2017,MICROSOFT,IT,659.91,96571,62310,25489,3.25,37803,87711,39507,-46781,8408,2.9186,0.9827,29.0602,10.1829,15.5626,26.3941,0.8887,59.9981
2016,MICROSOFT,IT,483.16,91154,58374,20539,2.56,33330,71997,33325,-23950,-8393,2.3529,0.7425,28.5276,10.6162,18.2481,22.5322,0.2435,40.7585
2015,MICROSOFT,IT,443.17,93580,60542,12193,1.48,31616,80083,29668,-23001,-9668,2.4734,0.4407,15.2255,6.9885,11.3012,13.0295,-0.3425,20.911
2014,MICROSOFT,IT,382.88,86833,59755,22074,2.63,32971,89784,32502,-18833,-8665,2.504,0.2522,24.5857,12.8051,19.9893,25.4212,0.3152,35.2192
2013,MICROSOFT,IT,312.3,77849,57464,21863,2.58,30519,78944,28833,-23811,-8148,2.7118,0.1976,27.6943,15.3499,23.8822,28.0839,-0.5456,35.7204
2012,MICROSOFT,IT,224.8,73723,56193,16978,2,30923,66363,31626,-24786,-9408,2.6029,0.18,25.5835,14.0001,22.0276,23.0295,0.5798,34.1328
2011,MICROSOFT,IT,218.38,69943,54366,23150,2.69,29927,57083,26994,-14616,-8376,2.6037,0.2088,40.555,21.2964,33.5488,33.0984,0.3921,52.9046
2010,MICROSOFT,IT,238.78,62484,50089,18760,2.1,26771,46175,24073,-11314,-13291,2.1293,0.1286,40.628,21.7853,36.7023,30.0237,0.7057,57.5054
2009,MICROSOFT,IT,270.64,58437,46282,14569,1.62,22925,39558,19037,-15770,-7463,1.8229,0.1453,36.8295,18.7051,33.6435,24.9311,1.7695,57.5941
2022,Alphabet ,IT,1144.35,282836,156633,59972,4.56,90770,256144,91495,-20298,-69757,2.378,0.0574,23.4134,16.4188,22.1426,21.2038,-0.3613,26.6424
2021,Alphabet ,IT,1910.26,257637,146698,76033,5.61,91155,251635,91652,-35523,-61362,2.9281,0.0589,30.2156,21.1633,28.5354,29.5117,1.7123,33.4561
2020,Alphabet ,IT,1179.4,182527,97795,40269,2.93,54921,222544,65124,-32773,-24408,3.0668,0.0626,18.0949,12.5992,17.0288,22.0619,0.843,20.1422
2019,Alphabet ,IT,917.82,161857,89961,34343,2.458,46012,201442,54520,-29491,-23209,3.3741,0.0226,17.0486,12.4472,16.6717,21.2181,0.5566,19.2033
2018,Alphabet ,IT,719.63,136819,77270,30736,2.185,36559,177628,47971,-28504,-13179,3.919,0.0226,17.3036,13.2032,16.9214,22.4647,-0.0705,19.5124
2017,Alphabet ,IT,726.47,110855,65272,12662,0.9,33093,152502,37091,-31401,-8298,5.1403,0.026,8.3028,6.4178,8.0922,11.4221,-0.151,9.5158
2016,Alphabet ,IT,530.84,90272,55134,19478,1.3925,29860,139036,36036,-31165,-8332,6.2908,0.0283,14.0093,11.6289,13.6237,21.577,0.6249,16.3323
2015,Alphabet ,IT,521.67,74989,46825,15826,1.142,24423,120331,26572,-23711,-4225,4.6667,0.0434,13.5859,11.0863,13.3643,21.1044,0.3054,16.2481
2014,Alphabet ,IT,354.75,66001,40310,14136,1.0285,21475,103860,23024,-21055,-2087,4.6878,0.0504,13.1138,10.5429,12.7185,21.4179,0.0463,16.2814
2013,Alphabet ,IT,371.53,55519,33526,12733,0.9395,19342,87309,18659,-13679,-857,4.5817,0.0601,15.0729,11.8644,14.6965,22.9345,-0.2373,18.8671
2012,Alphabet ,IT,230.54,46039,28863,10737,0.808,16796,71715,16619,-13056,1229,4.2166,0.0772,16.1096,12.3169,15.4652,23.3215,0.1539,21.512
2011,Alphabet ,IT,207.65,37905,24717,9737,0.744,13593,58145,14565,-19041,807,5.9192,0.0723,16.7461,13.4167,15.9281,25.6879,0.3039,19.7822
2010,Alphabet ,IT,188.54,29321,18904,8505,0.6578,11777,46241,11081,-10680,3050,4.1579,0.0749,18.3928,14.7016,18.3928,29.0065,-0.1195,21.8407
2009,Alphabet ,IT,195.27,23651,14807,6520,0.5103,9836,36004,9316,-8019,233,10.6178,0.0651,18.1091,16.1,18.1091,27.5675,0.6657,21.4997
2022,PAYPAL,FinTech,81.19,27518,11653,2419,2.09,5154,20274,5813,-3421,-1110,1.2753,0.5138,11.9315,3.073,7.8818,8.7906,0.288,29.2256
2021,PAYPAL,FinTech,221.57,25371,11921,4169,3.52,5527,21727,5797,-5149,-557,1.2218,0.3705,19.1881,5.4998,14.0012,16.4322,-0.4843,46.6279
2020,PAYPAL,FinTech,274.41,21454,10001,4202,3.54,4478,20063,6219,-16545,12454,1.3264,0.4455,20.944,5.9705,14.4887,19.5861,1.7623,42.5304
2019,PAYPAL,FinTech,127.01,17772,7987,2459,2.07,3631,16929,4071,-5742,4187,1.43,0.2933,14.5254,4.7903,11.2314,13.8364,-1.0251,24.7409
2018,PAYPAL,FinTech,99.09,15451,7189,2057,1.71,2970,15386,5480,821,-1240,1.2725,0.1299,13.3693,4.7471,13.3693,13.3131,2.347,24.852
2017,PAYPAL,FinTech,88.48,13094,6399,1795,1.47,2932,15994,2531,-4485,4084,1.4279,0.12,11.223,4.4023,11.223,13.7086,-0.5169,15.6264
2016,PAYPAL,FinTech,47.63,10842,5141,1401,1.15,2310,14712,3158,-5904,2038,1.5246,0.1236,9.5228,4.2322,9.5228,12.922,0.5382,13.417
2015,PAYPAL,FinTech,44.23,9248,4719,1228,1,2069,13759,2546,-8038,4728,1.5163,0.1311,8.9251,4.2519,8.9251,13.2786,0.0935,13.159
2014,PAYPAL,FinTech,43.26,8025,4218,419,0.34,1784,8248,2220,-2881,1284,1.3224,0.1325,5.08,1.9118,5.08,5.2212,0.103,8.5458
2022,AIG,Bank,46.99,56437,20762,10247,13.01,20640,42235,4207,-3626,-676,0.26,0.6435,27.0084,2.1411,16.2446,18.1565,-1.9207,26.6982
2021,AIG,Bank,47.21,52057,15322,9359,10.82,15382,68912,6279,-3280,-3735,0.25,0.4377,14.5016,1.6646,10.0157,17.9784,6.0658,14.3995
