question,location,intent
h,I don't understand what you are saying please give me more detail.,greeting
"hi, hiiii, hii","Hello there,  I'm an AI Financial Q & A designed bot to assist you.",greeting
hello there,"Hi, I'm an AI Financial Q & A designed bot to assist you.",greeting
hey,"Hello, I'm an AI designed to assist you.",greeting
how are you?,"I'm doing well, thank you. How about yourself?",greeting
how's your day going?,"it's going pretty good, thanks for asking. How about you?",greeting
How's your day going?,I'm just here to assist you. How can I help you today?,greeting
how are things on your end?,I'm here and ready to assist you with any questions or tasks you have.,greeting
Good to see you! What's up?,I'm here to help. What can I assist you with today?,greeting
how have you been?,I'm an AI designed to assist you. What do you need help with today?,greeting
What's new with you?,I'm just here to help you. What can I assist you with today?,greeting
How's life treating you?,I'm an AI designed to assist you. What can I help you with today?,greeting
How's life treating you lately?,I'm here and ready to assist you with any questions or tasks you have.,greeting
what's the latest?,I'm here to assist you. What do you need help with today?,greeting
Good to see you! How have you been?,I'm here and ready to assist you. How can I help you today?,greeting
How's everything going?,I'm here to help you with any questions you have. How can I assist you?,greeting
"Bye, bye, byee, Exit, Goodbye","Goodbye! If you have any more questions in the future, feel free to ask.",greeting
See you later,"See you later! Remember, I'm here to help whenever you need.",greeting
Take care,"Take care! If you need assistance again, don't hesitate to reach out.",greeting
Farewell,Farewell! Don't hesitate to return if you need further assistance.,greeting
Until next time,Until next time! Feel free to come back if you have more questions.,greeting
Bye for now,"Goodbye for now! If you have more questions later, feel free to ask.",greeting
Bye-bye,"Goodbye! If you have any more questions in the future, feel free to ask.",greeting
Goodbye and take care,"Goodbye and take care! If you have more questions later, feel free to ask.",greeting
hey there,"Hey, I'm an AI Financial Q & A designed bot to assist you. ",greeting
"Give me the list of company, How many company are you working with?",list_company,
"What is Market Capitalization? What s Market Cap? Give me the definition of Market Capitalization?, give me the description of Market capitalization.","Market capitalization, or ""market cap,"" represents the total dollar market value of a company's outstanding shares of stock. Investors use this figure to determine a company's size instead of sales or total asset value. In an acquisition, the market cap helps determine whether a takeover candidate represents a good value for the acquirer.",general
What is Revenue? Give me the definition of Revenue.,"Revenue is the money generated from normal business operations, calculated as the average sales price times the number of units sold. It is the top line (or gross income) figure from which costs are subtracted to determine net income. Revenue is also known as sales on the income statement.",general
